userID,age,gender,country,total_play_time,avg_session_time,games_played,in_game_purchases,last_login,friend_count,churn,game_genre,max_level_achieved,daily_play_time,subscription_status,device_type,number_of_sessions,social_interactions,achievement_points,favorite_game_mode
00045,45,Male,Germany,586,86,29,299,0,28,0,Strategy,12,28,Yes,PC,26,255,6580,Single-player
00046,24,Male,USA,662,55,4,179,13,95,0,Adventure,33,157,No,Mobile,9,21,9216,Coop
00047,25,Other,Australia,936,113,8,215,11,155,1,Action,20,28,No,Mobile,40,251,4332,Multiplayer
00048,52,Female,Germany,870,89,10,21,22,90,1,RPG,34,251,No,Mobile,2,444,5907,Coop
00049,31,Other,Japan,508,71,14,235,25,67,0,Adventure,23,206,Yes,PC,21,216,9471,Coop
00050,34,Other,South Korea,341,103,1,452,9,40,0,RPG,19,289,Yes,Console,10,415,6780,Single-player
00051,53,Other,Australia,928,69,12,384,18,105,1,Strategy,36,135,Yes,Console,30,286,997,Single-player
00052,57,Male,France,616,14,5,210,14,115,1,Simulation,44,116,Yes,Mobile,41,98,4567,Multiplayer
00053,21,Male,UK,41,42,14,285,0,182,0,RPG,1,255,No,PC,45,57,4018,Coop
00054,19,Male,Japan,175,92,4,422,0,159,0,Strategy,10,117,No,Mobile,3,76,5735,Coop
00055,23,Female,USA,244,64,28,206,28,122,0,Adventure,1,87,No,PC,1,335,9933,Single-player
00056,59,Male,Australia,252,28,17,493,10,196,1,Adventure,5,146,No,Console,20,484,1575,Coop
00057,21,Female,Japan,273,26,26,418,10,149,1,Strategy,22,74,No,Console,46,488,7485,Coop
00058,46,Male,South Korea,958,97,22,324,4,120,1,Adventure,43,80,Yes,Mobile,35,311,8995,Coop
00059,35,Other,Australia,333,101,26,254,2,56,1,Adventure,2,155,Yes,Console,23,374,1288,Multiplayer
00060,43,Male,Canada,603,51,13,453,10,21,0,Adventure,9,279,Yes,Mobile,2,338,5059,Single-player
00061,51,Female,Canada,10,110,3,344,3,65,0,Strategy,44,165,No,PC,45,238,5723,Multiplayer
00062,27,Female,Australia,151,31,11,10,5,168,0,Strategy,7,203,Yes,Mobile,30,296,7856,Multiplayer
00063,53,Male,Australia,188,48,11,306,17,42,0,RPG,48,286,No,PC,9,248,7537,Multiplayer
00064,31,Other,Canada,959,89,5,318,6,33,1,Action,21,47,Yes,Mobile,9,142,8410,Coop
00065,48,Male,France,675,108,6,341,20,113,1,Simulation,7,203,No,Mobile,36,301,6573,Multiplayer
00066,32,Male,Germany,637,36,4,378,23,1,0,Adventure,9,231,Yes,PC,10,114,4012,Multiplayer
00067,25,Male,UK,210,85,10,33,3,58,0,Action,40,258,Yes,Console,12,120,6597,Coop
00068,31,Other,Japan,972,55,10,120,13,35,0,Action,9,165,No,PC,19,240,8,Coop
00069,40,Female,Japan,96,37,12,235,27,7,0,Strategy,49,284,No,Mobile,45,480,955,Single-player
00070,57,Other,USA,820,61,22,182,7,160,1,Strategy,12,231,Yes,Console,34,314,8260,Coop
00071,38,Female,UK,338,74,23,77,19,32,0,Action,44,107,Yes,PC,26,192,1959,Coop
00072,33,Female,India,46,48,18,122,10,195,0,Strategy,36,220,Yes,PC,2,434,4328,Multiplayer
00073,35,Female,Canada,819,27,15,456,29,17,0,RPG,9,245,No,Console,22,396,6912,Single-player
00074,41,Other,India,735,96,23,275,13,63,0,RPG,10,237,No,Console,20,151,3026,Coop
00075,43,Male,South Korea,974,31,23,207,20,60,1,Simulation,49,217,Yes,PC,30,245,1143,Single-player
00076,42,Male,UK,56,77,18,185,2,82,0,Simulation,10,25,Yes,PC,44,342,1016,Multiplayer
00077,58,Male,Brazil,74,20,3,464,10,9,0,Simulation,44,29,Yes,Mobile,20,101,3584,Single-player
00078,46,Male,USA,253,91,3,16,3,177,0,Adventure,17,233,Yes,PC,43,92,1730,Coop
00079,32,Male,Australia,662,73,1,289,8,105,0,RPG,38,102,Yes,Console,7,143,4183,Coop
00080,18,Other,South Korea,570,80,17,489,4,21,0,Adventure,4,123,No,PC,27,176,2904,Multiplayer
00081,42,Other,Germany,836,94,10,253,12,38,0,RPG,16,283,Yes,Console,21,287,9062,Single-player
00082,24,Other,Brazil,951,66,27,458,19,101,0,Action,49,149,Yes,Mobile,25,107,8279,Multiplayer
00083,26,Other,UK,597,44,6,98,3,64,1,Adventure,48,191,Yes,Console,46,228,5721,Single-player
00084,41,Other,UK,169,46,25,445,6,29,0,Simulation,36,235,No,Console,45,271,8138,Coop
00085,18,Other,India,145,59,25,417,1,132,0,RPG,27,174,Yes,Console,7,42,6524,Coop
00086,25,Other,France,838,39,11,483,19,110,1,Simulation,6,83,No,PC,30,358,3714,Coop
00087,41,Male,India,32,26,14,455,18,25,1,Strategy,40,101,No,PC,2,365,5502,Single-player
00088,28,Female,Japan,514,42,17,146,6,119,0,RPG,9,174,Yes,PC,17,87,1811,Single-player
00089,34,Other,India,795,25,28,371,19,62,1,RPG,32,47,Yes,Console,11,308,5867,Multiplayer
00090,25,Female,France,256,24,7,113,23,173,0,Simulation,38,1,Yes,PC,38,359,6856,Coop
00091,52,Other,Germany,125,22,22,96,20,30,0,Simulation,30,278,Yes,PC,30,253,9527,Single-player
00092,52,Other,South Korea,958,112,4,381,24,168,0,Simulation,14,42,No,Console,39,20,9325,Multiplayer
00093,50,Male,Canada,112,12,11,375,8,139,0,RPG,45,206,Yes,Console,34,416,4456,Multiplayer
00094,22,Female,UK,814,33,19,470,18,16,0,Action,29,100,Yes,PC,44,442,1939,Coop
00095,59,Male,Australia,804,32,9,321,24,145,0,Strategy,28,141,Yes,PC,36,59,2067,Single-player
00096,56,Male,India,341,68,26,327,19,193,1,Simulation,22,27,No,PC,47,154,1744,Coop
00097,58,Female,Brazil,47,118,21,348,24,112,0,Action,31,73,No,Mobile,19,116,5987,Single-player
00098,45,Male,Germany,363,64,8,169,27,91,0,Simulation,17,5,Yes,PC,17,412,5600,Coop
00099,24,Other,USA,786,74,20,306,29,38,1,RPG,17,237,Yes,Console,28,32,7021,Multiplayer
00100,26,Other,UK,397,41,4,198,1,73,0,Action,49,254,Yes,PC,17,355,6213,Single-player
00101,25,Other,France,194,106,16,176,20,110,0,RPG,15,19,No,Mobile,36,247,359,Single-player
00102,29,Other,Japan,850,69,6,123,15,160,1,Adventure,47,67,No,Mobile,9,101,4718,Single-player
00103,51,Other,France,736,39,6,156,5,135,0,Simulation,32,30,No,Mobile,4,177,1685,Multiplayer
00104,50,Male,India,724,75,19,94,18,90,0,Strategy,28,177,Yes,PC,33,415,3373,Multiplayer
00105,40,Male,South Korea,320,27,2,285,17,25,1,Action,11,42,Yes,Console,39,301,6563,Coop
00106,41,Other,Japan,793,68,11,98,16,75,0,Adventure,39,88,Yes,Console,32,155,2605,Multiplayer
00107,54,Other,Brazil,137,62,25,408,10,34,0,Simulation,17,47,No,PC,18,178,98,Multiplayer
00108,52,Male,France,354,73,18,366,22,56,0,Adventure,12,211,Yes,PC,49,240,7051,Coop
00109,57,Female,Brazil,844,39,9,451,3,20,1,Action,39,232,Yes,PC,46,229,5840,Multiplayer
00110,39,Male,USA,69,27,28,368,23,164,0,Strategy,9,116,Yes,PC,13,281,4180,Coop
00111,44,Male,Brazil,810,14,16,234,7,123,0,Action,25,283,Yes,Console,25,175,1358,Multiplayer
00112,52,Male,UK,581,78,11,189,23,132,0,Strategy,26,120,Yes,Mobile,5,313,3736,Multiplayer
00113,18,Male,Germany,482,17,14,293,17,16,0,RPG,4,200,No,Mobile,38,174,4557,Single-player
00114,52,Male,Japan,719,18,8,272,12,125,1,Simulation,19,248,No,Console,21,62,1799,Single-player
00115,54,Female,UK,711,41,27,329,20,97,0,Adventure,13,200,Yes,PC,3,302,573,Single-player
00116,31,Other,Australia,58,23,13,384,7,96,1,RPG,29,38,Yes,PC,33,69,9280,Multiplayer
00117,20,Other,France,770,22,10,17,9,81,0,Simulation,47,160,Yes,Console,47,274,7362,Single-player
00118,18,Female,France,388,27,23,446,17,24,0,Adventure,9,227,No,Console,3,334,7599,Coop
00119,22,Other,Australia,852,77,12,173,17,104,0,RPG,42,229,Yes,Mobile,1,208,2129,Single-player
00120,43,Other,Brazil,350,31,21,402,16,60,0,Simulation,40,170,No,Console,22,97,9025,Coop
00121,31,Other,UK,845,29,29,380,15,93,0,Simulation,7,256,No,PC,19,320,8947,Coop
00122,56,Female,Japan,868,24,3,305,5,36,1,RPG,7,205,No,Console,26,402,3807,Coop
00123,44,Female,Japan,338,16,2,119,13,108,1,Action,21,87,Yes,Console,12,450,7991,Coop
00124,26,Other,Australia,676,86,11,255,29,193,0,Strategy,9,240,Yes,Console,34,336,8175,Multiplayer
00125,32,Other,France,756,107,24,95,4,140,0,Strategy,45,145,Yes,PC,40,119,4293,Coop
00126,32,Other,Australia,595,114,18,309,14,120,1,Action,27,264,Yes,PC,18,486,4691,Coop
00127,43,Male,USA,435,39,24,30,12,39,1,Simulation,48,248,Yes,Mobile,20,429,4996,Single-player
00128,59,Male,USA,449,14,21,96,15,169,0,Adventure,21,12,No,Console,8,461,9808,Single-player
00129,30,Male,USA,376,10,25,469,15,83,1,Action,5,298,No,PC,10,458,5451,Coop
00130,49,Female,Canada,958,69,4,192,16,69,1,Simulation,5,97,No,Mobile,34,207,8686,Multiplayer
00131,56,Other,Germany,390,40,8,232,26,152,0,RPG,8,42,No,PC,9,53,519,Multiplayer
00132,49,Female,South Korea,480,29,29,45,23,169,1,RPG,15,222,Yes,Mobile,40,349,7676,Single-player
00133,21,Female,India,820,92,11,290,23,137,0,Simulation,13,158,No,Console,5,230,6319,Single-player
00134,47,Female,Canada,113,73,15,235,4,94,0,RPG,33,24,No,Mobile,38,218,5271,Single-player
00135,54,Other,Japan,745,73,23,48,10,42,0,Strategy,44,215,Yes,Console,20,465,5163,Single-player
00136,40,Male,Brazil,773,38,28,336,14,195,0,Action,47,75,Yes,Console,13,375,1893,Multiplayer
00137,56,Other,France,902,118,24,161,2,127,0,Strategy,32,272,Yes,Console,42,86,1715,Single-player
00138,32,Other,Brazil,171,111,21,284,7,88,1,Simulation,36,155,Yes,Console,49,176,1626,Single-player
00139,46,Female,Australia,17,19,2,133,2,155,0,Action,49,13,No,Mobile,38,26,4857,Multiplayer
00140,53,Female,France,234,38,23,256,28,151,0,RPG,23,200,No,Mobile,38,55,6153,Coop
00141,30,Female,India,309,40,19,182,3,98,0,Action,34,67,No,PC,44,427,7248,Multiplayer
00142,49,Male,India,894,84,15,26,26,40,1,Action,18,68,No,Mobile,47,491,6126,Single-player
00143,24,Male,UK,668,96,29,139,13,60,1,RPG,12,12,Yes,Console,11,202,4349,Multiplayer
00144,39,Male,Brazil,722,39,26,259,22,123,0,Adventure,23,84,No,PC,33,332,520,Coop
00145,45,Other,South Korea,280,34,26,79,22,132,0,RPG,2,269,Yes,Mobile,38,43,1606,Single-player
00146,19,Female,India,830,89,26,179,19,96,0,Strategy,44,145,Yes,Console,9,22,7643,Single-player
00147,59,Other,Germany,195,67,28,383,24,138,0,Adventure,27,136,Yes,PC,9,473,6103,Coop
00148,23,Male,UK,114,66,27,266,5,7,0,Strategy,31,233,Yes,Mobile,37,297,671,Coop
00149,45,Female,South Korea,396,96,26,51,23,148,0,Simulation,48,299,Yes,PC,24,447,5809,Single-player
00150,45,Male,France,671,72,13,83,22,191,1,Strategy,22,26,Yes,Mobile,11,417,8794,Single-player
00151,37,Female,Brazil,666,106,2,409,3,4,1,Action,5,168,Yes,Mobile,0,226,6932,Multiplayer
00152,47,Female,Brazil,562,46,3,155,11,33,0,Simulation,17,55,Yes,PC,25,426,8511,Multiplayer
00153,28,Other,South Korea,417,67,14,489,1,8,0,Adventure,43,43,Yes,PC,35,357,4246,Coop
00154,45,Other,South Korea,283,37,20,327,26,37,1,Strategy,7,9,Yes,PC,12,211,4669,Multiplayer
00155,42,Male,India,584,36,26,449,28,42,0,Simulation,18,69,Yes,Console,18,87,8470,Single-player
00156,56,Other,France,327,79,13,103,17,95,0,Strategy,2,281,No,Console,36,223,2564,Multiplayer
00157,50,Other,UK,340,111,27,345,13,137,0,Action,31,215,No,PC,30,281,8318,Coop
00158,18,Other,Germany,621,46,23,410,7,11,0,Action,28,40,No,Mobile,28,1,2687,Single-player
00159,44,Female,Japan,797,15,26,96,7,98,1,Adventure,3,13,No,PC,26,12,3277,Single-player
00160,30,Other,Japan,220,98,16,124,11,145,0,RPG,9,153,No,Console,18,386,1100,Multiplayer
00161,58,Male,Canada,8,86,12,182,0,139,0,RPG,33,99,No,PC,11,102,9927,Multiplayer
00162,20,Female,Germany,908,71,1,326,28,30,1,Action,28,6,Yes,PC,23,483,7646,Coop
00163,56,Female,France,81,106,6,53,0,10,1,Simulation,28,164,No,Console,38,395,6212,Multiplayer
00164,23,Other,France,831,42,13,301,3,97,0,Adventure,18,227,No,Mobile,20,410,6558,Coop
00165,25,Female,UK,293,98,22,163,16,26,0,Strategy,15,193,Yes,Mobile,23,247,1035,Single-player
00166,44,Male,Brazil,374,87,24,383,9,20,0,Strategy,11,284,Yes,Console,21,269,2941,Coop
00167,26,Male,Canada,533,49,2,148,0,127,1,Simulation,25,231,No,Console,38,201,6131,Multiplayer
00168,54,Female,UK,414,50,18,432,25,12,0,RPG,5,118,Yes,PC,30,488,5016,Multiplayer
00169,50,Other,Canada,98,51,17,289,10,44,1,Action,41,243,No,Mobile,18,373,2530,Single-player
00170,59,Other,Brazil,681,111,19,377,20,174,1,Action,46,182,Yes,Mobile,12,165,7928,Multiplayer
00171,41,Female,Australia,701,18,23,86,16,24,0,Adventure,27,264,Yes,Console,47,459,7707,Single-player
00172,32,Male,Canada,617,27,15,161,9,76,1,Action,12,98,Yes,Mobile,33,117,790,Coop
00173,49,Female,UK,831,24,8,167,27,63,0,RPG,10,92,No,Console,49,39,6877,Coop
00174,49,Other,Australia,969,13,23,134,5,197,1,RPG,9,145,No,Mobile,41,330,3673,Coop
00175,41,Other,South Korea,776,43,9,89,3,98,0,Simulation,2,157,No,Mobile,33,49,7636,Multiplayer
00176,58,Female,Germany,381,71,8,487,25,155,0,Adventure,9,76,No,Console,26,193,3836,Multiplayer
00177,29,Male,India,862,47,8,307,12,147,1,Adventure,47,280,Yes,PC,33,350,5018,Multiplayer
00178,56,Female,UK,939,90,11,304,26,168,1,Action,16,153,Yes,PC,38,189,1171,Multiplayer
00179,19,Male,South Korea,503,80,18,374,10,3,0,Strategy,1,211,Yes,Mobile,26,9,2971,Coop
00180,20,Male,Japan,446,105,17,80,4,83,1,Adventure,21,216,Yes,PC,32,364,309,Coop
00181,54,Female,Japan,679,32,22,350,13,196,1,Action,37,137,No,Mobile,3,261,6346,Multiplayer
00182,34,Female,France,343,29,23,230,24,23,1,Strategy,39,116,Yes,PC,27,310,256,Coop
00183,19,Male,UK,424,65,6,88,1,144,0,Action,1,76,Yes,PC,6,425,6116,Multiplayer
00184,19,Male,USA,624,62,23,292,2,132,1,Simulation,49,159,No,Mobile,25,60,8174,Multiplayer
00185,45,Male,India,839,11,24,445,28,56,0,Adventure,47,53,Yes,PC,25,149,712,Coop
00186,40,Male,USA,305,30,2,398,2,153,0,Action,40,280,Yes,Console,49,430,9164,Coop
00187,54,Other,Germany,147,85,1,1,10,99,0,Simulation,14,156,No,PC,20,402,9836,Single-player
00188,49,Female,France,848,51,10,394,8,199,1,Action,40,162,Yes,Mobile,16,329,4627,Single-player
00189,50,Male,India,731,66,8,351,18,144,0,RPG,48,51,Yes,PC,31,46,4726,Coop
00190,18,Female,Australia,453,58,16,221,9,183,0,Action,44,115,Yes,Console,26,218,371,Single-player
00191,36,Male,Canada,937,100,24,16,20,7,0,RPG,32,123,Yes,Console,43,219,6108,Single-player
00192,19,Female,India,32,19,14,471,5,191,0,Adventure,24,212,Yes,PC,1,245,8418,Coop
00193,43,Female,Brazil,731,81,24,428,21,196,0,Action,39,175,No,Mobile,43,393,9595,Coop
00194,49,Male,Australia,500,70,16,195,5,9,0,Simulation,37,262,Yes,Console,48,300,2856,Multiplayer
00195,23,Male,Canada,318,30,14,119,0,177,1,Adventure,33,198,Yes,Console,25,59,7646,Coop
00196,49,Female,Germany,696,69,26,241,21,123,0,Adventure,30,84,No,Mobile,27,242,468,Multiplayer
00197,21,Female,Japan,192,95,7,444,0,182,1,RPG,26,52,Yes,Console,20,272,5225,Coop
00198,28,Female,Canada,872,22,18,173,21,13,0,Adventure,43,238,Yes,Console,39,78,4823,Coop
00199,34,Other,Brazil,179,57,20,31,28,90,1,Action,44,67,No,Console,47,42,5234,Multiplayer
00200,55,Male,France,866,49,9,274,25,26,1,Action,14,172,Yes,Mobile,38,267,8143,Coop
00201,41,Other,Canada,983,72,24,194,21,4,1,RPG,12,112,No,Console,34,467,9636,Multiplayer
00202,22,Other,India,517,85,4,3,18,78,0,Action,44,288,Yes,Mobile,25,127,7355,Single-player
00203,51,Male,India,390,90,24,280,2,155,1,RPG,3,184,No,Console,20,63,2165,Single-player
00204,23,Male,France,520,18,26,456,5,132,0,Strategy,7,273,Yes,Console,5,381,4198,Single-player
00205,39,Other,India,356,66,29,20,1,85,0,RPG,21,143,No,Console,31,207,3821,Multiplayer
00206,28,Male,Germany,572,60,16,470,14,139,0,Simulation,27,94,No,Mobile,1,302,4846,Multiplayer
00207,33,Female,Brazil,463,49,22,237,11,7,0,Simulation,10,47,No,Console,11,211,4169,Coop
00208,50,Female,UK,929,85,11,92,20,58,0,Action,10,296,Yes,PC,17,177,5301,Coop
00209,26,Other,UK,674,82,9,477,9,192,1,Strategy,36,80,Yes,Mobile,13,154,8690,Coop
00210,23,Other,Japan,98,73,17,88,18,59,1,Simulation,17,156,Yes,Mobile,5,277,8241,Multiplayer
00211,33,Male,South Korea,147,103,22,112,20,79,0,Simulation,42,232,No,PC,1,218,3359,Coop
00212,46,Male,Germany,569,79,11,220,29,54,0,Simulation,34,272,No,PC,22,396,9917,Coop
00213,20,Other,South Korea,726,73,20,97,12,93,0,Action,18,25,Yes,Console,15,186,8459,Coop
00214,37,Other,UK,315,34,3,141,2,170,1,Adventure,26,78,Yes,Mobile,17,196,8747,Multiplayer
00215,53,Female,Canada,181,37,21,149,17,40,1,Adventure,2,158,Yes,Mobile,1,80,2428,Coop
00216,36,Female,Canada,546,19,26,47,19,9,0,Adventure,9,48,No,PC,1,225,9265,Single-player
00217,43,Male,Canada,302,114,11,50,4,115,1,Action,45,176,Yes,PC,44,149,7995,Multiplayer
00218,20,Female,India,557,37,8,207,21,83,0,Adventure,5,191,No,PC,44,221,1298,Single-player
00219,36,Male,India,598,102,27,10,12,106,0,RPG,26,172,No,PC,22,450,3859,Coop
00220,37,Male,USA,3,45,10,442,28,6,0,Action,41,167,No,Console,44,198,7933,Single-player
00221,49,Male,Canada,777,20,6,269,13,20,0,Action,15,124,No,PC,37,496,2276,Coop
00222,24,Female,Canada,106,30,17,262,29,74,0,Strategy,25,257,Yes,Mobile,47,270,2176,Single-player
00223,58,Other,Australia,74,111,6,196,29,100,0,Simulation,26,180,No,PC,1,70,7374,Single-player
00224,50,Other,France,39,35,7,185,14,43,0,Strategy,28,206,Yes,Console,9,130,9877,Single-player
00225,57,Female,UK,638,27,13,295,17,87,0,Adventure,23,54,No,Mobile,15,156,3402,Single-player
00226,56,Other,India,694,77,6,220,28,36,0,Action,21,151,Yes,PC,42,389,7102,Multiplayer
00227,35,Male,Brazil,118,117,3,80,13,171,0,Action,22,155,Yes,Console,49,432,931,Multiplayer
00228,57,Other,India,72,50,27,221,18,64,1,Adventure,19,261,No,Mobile,43,90,414,Coop
00229,18,Female,Brazil,551,24,25,408,2,113,0,Simulation,10,246,Yes,Console,21,448,5901,Coop
00230,28,Other,USA,203,32,13,461,21,5,0,Strategy,42,118,No,PC,42,240,9070,Coop
00231,45,Male,Brazil,976,50,10,378,0,37,0,Simulation,36,193,Yes,Mobile,15,181,6216,Single-player
00232,42,Male,India,95,15,26,169,22,170,0,Adventure,31,265,No,Mobile,46,161,4469,Multiplayer
00233,40,Female,Japan,278,116,4,85,28,56,0,Strategy,31,252,No,Mobile,32,185,444,Multiplayer
00234,48,Female,India,142,80,5,43,23,69,0,Strategy,35,2,No,Console,39,7,5763,Coop
00235,47,Female,Germany,114,119,21,260,6,64,0,Simulation,11,247,Yes,Mobile,23,110,1657,Coop
00236,59,Male,Japan,475,69,19,103,19,182,1,Simulation,17,138,No,PC,24,88,8725,Multiplayer
00237,52,Other,Canada,883,88,28,283,6,111,1,Action,33,110,Yes,PC,40,142,5044,Coop
00238,24,Other,UK,997,61,18,459,16,34,1,Action,22,152,Yes,Console,10,37,2640,Coop
00239,33,Female,Brazil,132,18,24,227,28,23,1,Simulation,43,136,No,Console,38,266,6217,Coop
00240,43,Other,India,167,39,7,187,14,37,0,Adventure,26,188,Yes,Mobile,11,72,2019,Coop
00241,19,Other,India,913,53,21,460,12,2,1,Simulation,36,210,Yes,PC,38,282,1245,Multiplayer
00242,18,Female,Brazil,244,71,29,120,23,178,0,Action,48,240,No,Mobile,5,204,5704,Multiplayer
00243,29,Female,South Korea,276,52,1,148,29,188,1,Strategy,2,186,No,Console,45,75,3878,Multiplayer
00244,22,Male,UK,974,37,26,351,25,167,1,Adventure,32,93,No,PC,3,10,4576,Single-player
00245,54,Male,Australia,258,103,17,304,14,53,1,Action,3,128,Yes,Mobile,12,313,7801,Multiplayer
00246,49,Male,France,45,17,24,439,25,65,1,Adventure,38,128,Yes,PC,47,418,5269,Coop
00247,26,Male,Canada,345,108,20,56,2,114,0,Adventure,23,10,No,PC,1,43,5276,Multiplayer
00248,58,Other,Japan,846,60,29,340,24,59,0,Strategy,1,207,No,Console,10,184,2112,Coop
00249,52,Other,India,894,108,20,188,16,14,0,Action,5,28,Yes,Mobile,26,342,7256,Multiplayer
00250,36,Male,USA,236,99,25,356,15,173,0,Simulation,44,102,No,Console,32,404,9293,Multiplayer
00251,33,Male,UK,52,39,18,37,21,109,1,Adventure,37,238,No,PC,45,124,1777,Coop
00252,20,Female,Brazil,147,108,5,200,0,182,1,Adventure,1,6,Yes,Console,46,411,5123,Single-player
00253,37,Other,India,698,111,22,228,23,3,0,Strategy,18,165,No,Console,40,262,7174,Single-player
00254,41,Other,Japan,532,20,6,385,13,23,0,Action,5,3,Yes,Mobile,23,204,8156,Single-player
00255,50,Male,USA,89,29,10,130,2,82,0,Adventure,18,227,No,Mobile,21,350,2579,Single-player
00256,41,Other,France,232,119,28,170,19,93,0,Adventure,35,265,No,Mobile,22,162,3567,Multiplayer
00257,28,Female,France,726,40,19,329,27,102,0,RPG,32,53,Yes,PC,35,336,5344,Multiplayer
00258,25,Female,Japan,880,43,10,34,21,39,0,RPG,26,251,No,PC,0,498,7838,Coop
00259,53,Other,UK,50,21,6,200,3,26,0,Adventure,33,247,No,Mobile,23,87,7218,Multiplayer
00260,55,Male,USA,664,57,10,167,29,179,1,Strategy,42,265,No,PC,12,499,8837,Multiplayer
